10	10	Swegatchy	Place Name
30	30	The Fort	Place Name
75	75	Adirondack Peaks	Place Name
92	92	Europe	Place Name
105	105	Fort Stanwicks	Place Name
129	129	The Five Nations	Place Name
143	143	Lake Superior	Place Name
263	263	The German Flats	Place Name
